id_local,Name,agf__Description__c,agf__Status__c
B2B-10,Critério 1 - Conversão de Venda Expressa e Auditoria Restrita,"Dado que um GR submete uma cotação de venda padrão (expressa) Quando a cotação avança, ela faz um ""bypass"" na fila de Arquitetura e cai direto para auditoria do BKO Então o BKO consegue visualizar todas as condições, mas os campos de valores financeiros estão bloqueados para edição",New
B2B-10,Critério 2 - Tratamento de divergência financeira no BKO,Dado que o BKO identifica que os valores da cotação expressa não batem com a tabela de preços oficial Quando o BKO analisa a divergência Então ele só possui a opção de rejeitar e devolver a cotação para o GR ajustar e submeter novamente,New
B2B-16,Critério 1 - Restrição do motivo preço na perda de Lead,"Dado que o SDR ou GR vai marcar um Lead como ""Perdido"" Quando ele clica no picklist de Motivos Então o sistema NÃO exibe a opção ""Preço"", garantindo que o descarte embrionário possua a categorização correta.",New
B2B-16,Critério 2 - Encerramento de Oportunidade por Preço,"Dado que o GR avança para fechar uma Oportunidade B2B como ""Closed Lost""
Quando ele visualiza o modal de justificativa
Então a opção ""Preço"" é exibida e exige a seleção de um submotivo condizente.",New
B2B-17,Critério 1 - Configuração de link corporativo como cortesia zerada,"Dado que o GR adiciona um Link Dedicado B2B ao carrinho de cotação Quando o GR seleciona a flag ""Cortesia"" nos atributos comerciais do produto Então o Vlocity Pricing Engine recalcula a linha, definindo os valores de instalação (NRC) e mensalidade (MRR) como R$ 0,00 na proposta.",New
B2B-17,Critério 2 - Conversão de oportunidade para cortesia no meio da negociaçã,"ESTIMATIVA, DEPENDÊNCIAS E GOVERNOR LIMITS
Estimativa Sugerida: 8 Story Points - Requer ajuste no EPC (Product Catalog) para criar o atributo de Cortesia e configuração de Pricing Rules para aplicar o desconto de 100% dinamicamente. Dependências: Definição clara no catálogo de quais produtos corporativos são elegíveis para a modalidade de cortesia. Governor Limits & Edge Cases: Evitar lentidão no recálculo do carrinho (Cart Repricing) em cotações com múltiplos sites (Large Carts) ao aplicar a regra de cortesia em massa.",New
B2B-18,Critério 1 - Disparo de aprovação por Gestor para itens zerados,"Dado que o GR finalizou a configuração de um carrinho B2B contendo produtos de ""Cortesia"" Quando ele tenta gerar o documento da proposta comercial Então o sistema bloqueia a ação, altera o status para ""Requer Aprovação"" e roteia a solicitação para a fila do Gestor Imediato.",New
B2B-18,Critério 2 - Liberação do DocGen após aprovação,"Dado que a cotação de Cortesia foi aprovada pelo Gestor Imediato Quando o GR retorna ao registro Então a cotação é destravada, permitindo a geração do PDF nativo (DocGen) e o registro do aceite formal do Signatário Legal do cliente corporativo.",New
B2B-19,Critério 1 - Envio de payload técnico sem faturamento (Cortesia),"Dado que a Ordem B2B de Cortesia foi aprovada, auditada pelo BKO e submetida Quando o EOM inicia a decomposição e orquestração do pedido Então o sistema gera as tarefas técnicas (Field Service) normalmente e envia uma chamada via TMF622 ao Customer Core/SAP com o valor do faturamento fixado em R$ 0,00, indicando o centro de custo interno.",New
B2B-19,Critério 2 - Bypass de restrição financeira,"Dado que o cliente base (Grupo Econômico) possui um débito ativo no Customer Core Quando o BKO submete uma nova ordem estritamente de Cortesia para um novo Premise Então o sistema permite a imputação da venda e orquestração, ignorando o travamento de crédito, pois não há geração de nova dívida.",New
B2B-21,Critério 1 - Obrigatoriedade de preenchimento da justificativa da permuta,"Dado que o GR está configurando uma oportunidade/cotação e seleciona o Tipo de Negócio como ""Swap (Permuta)"" Quando tenta avançar o estágio da cotação ou salvar o registro sem preencher o campo ""Justificativa/Detalhe da Permuta"" Então o sistema aciona uma Validation Rule, bloqueando o salvamento e exigindo o detalhamento claro da contrapartida (o que a empresa está recebendo em troca do serviço de Telecom).",New
B2B-21,Critério 2 - Disparo de aprovação mandatória para permutas de serviço,"Dado que o carrinho B2B possui um produto real com valor (MRR) editado via override e a flag de Swap ativada e justificada Quando o GR clica em ""Submeter para Aprovação"" ou tenta gerar a Proposta Comercial (DocGen) Então o sistema bloqueia a geração do documento e roteia a cotação para aprovação compulsória do Gestor Imediato (via Advanced Approvals), travando os valores contra novas edições.",New
B2B-23,Critério 1 - Upgrade de banda sem refidelização mantendo a data de términ,Google Docs+ 3,New
B2B-23,Critério 2 - Bloqueio da opção sem refidelização por necessidade de novo ,Google Docs,New
B2C-N04,Critério 1 - Geração de Caso de Retenção pós-desligamento.,"Dado que o sistema de RH processa o desligamento de um funcionário que possui um Asset ativo do ""Plano Colaborador""
Quando o payload de desligamento for recebido pelo Salesforce
Então o sistema altera o atributo do cliente (IsEmployee__c = FALSE) e cria um Case na fila de Retenção para abordagem de reversão.",New
B2C-N04,Critério 2 - Conversão para contrato faturado (Reversão).,"Dado que o agente de retenção está em tratativa com o ex-colaborador
Quando o cliente aceita migrar para um plano pago com desconto de retenção
Então o OmniScript de MACD executa a troca do produto (Change), substituindo o ""Plano Colaborador"" por uma oferta residencial B2C padrão e aplica o desconto, gerando uma Ordem de modificação.",New
