id_local,documento,onda_inclusao,tag,titulo,situacao_no_doc,qtd_comentarios_abertos,bloqueio_negocio,trecho_bloqueio
B2B-01,Especificação Funcional e Técnica B2B (3).docx,Consolidado inicial,LEAD & ACCOUNT MANAGEMENT,Escalonamento de Inatividade de Leads B2B e Enriquecimento via Econodata e Customer Core,VIGENTE,21,S,Fernanda da Silveira Duarte 2026-09-15: Pegar a listagem com a Tayza
B2B-02,Especificação Funcional e Técnica B2B (3).docx,Consolidado inicial,ENTERPRISE CPQ / FEASIBILITY,"Endereçamento Geocodificado, Viabilidade Expressa e Roteamento de Pré-Projeto Técnico",VIGENTE,16,N,
B2B-03,Especificação Funcional e Técnica B2B (3).docx,Consolidado inicial,ENTERPRISE CPQ / PROPOSAL & CLM,"Cotação Multi-Site, Alçadas de Desconto/Trading e Geração de Proposta via Document Generator",SUPERADA por B2B-12,15,N,
B2B-04,Especificação Funcional e Técnica B2B (3).docx,Consolidado inicial,MACD - RETENÇÃO & CHURN,"Solicitação de Cancelamento B2B, Esteiras de Retenção e Cálculo de Multa Rescisória",SUPERADA por B2B-24,8,S,Fernanda da Silveira Duarte 2026-09-14: Aguardando retorno Tayza
B2B-05,Especificação Funcional e Técnica B2B (3).docx,Consolidado inicial,MACD - UPGRADE & SWAP,Alteração Contratual B2B (Upgrade/Swap) com Espelhamento de Ativos e Duplo Check da Arquitetura,SUPERADA por B2B-22,12,N,
B2B-06,Especificação Funcional e Técnica B2B (3).docx,Consolidado inicial,BACKOFFICE & EOM,"Auditoria de Vendas B2B pelo BKO, Análise de Crédito/Débitos e Handoff com Customer Core/ERP",VIGENTE,7,S,Fernanda da Silveira Duarte 2026-09-14: Ainda a ser discutido este tópico.. dependerá de como o processo vai ser executado pelos GR's.... | Fernanda da Silveira Duarte 2026-09-14: Ainda a ser discutido este tópico.. dependerá de como o processo vai ser executado pelos GR's....
B2B-07,Especificação Funcional e Técnica B2B (3).docx,Histórias da reunião de 01/09/2026,SALES CORE,Rastreio Comercial e Identificação de Parceiros na Jornada do Lead à Oportunidade,VIGENTE,2,N,
B2B-08,Especificação Funcional e Técnica B2B (3).docx,Histórias da reunião de 01/09/2026,ENTERPRISE CPQ,Configuração de Taxa Única (CAPEX) no Carrinho B2B,VIGENTE,2,N,
B2B-09,Especificação Funcional e Técnica B2B (3).docx,Histórias da reunião de 01/09/2026,CONTRACT LIFECYCLE MANAGEMENT - CLM,Geração de Contrato Padrão e Obrigatoriedade de Signatário Legal,SUPERADA por B2B-15,1,N,
B2B-10,Especificação Funcional e Técnica B2B (3).docx,Histórias da reunião de 01/09/2026,ENTERPRISE ORDER MANAGEMENT - EOM,Restrição de Edição pelo BKO e Bypass de Arquitetura para Vendas Expressas,VIGENTE,6,N,
B2B-11,Especificação Funcional e Técnica B2B (3).docx,Histórias da reunião de 01/09/2026,SALES CORE,Estruturação de Motivos e Submotivos para Perda de Leads e Oportunidades,SUPERADA por B2B-16,6,N,
B2B-12,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,ENTERPRISE CPQ / PROPOSAL & CLM,"Cotação Multi-Site, Trading, Validade de Proposta e Alçadas B2B",VIGENTE,4,N,
B2B-13,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,MACD - RETENÇÃO & CHURN,"Solicitação de Cancelamento B2B, Retenção e Calculadoras Predicionais",SUPERADA por B2B-24,4,S,Fernanda da Silveira Duarte 2026-09-14: Aguardando retorno Tayza | Fernanda da Silveira Duarte 2026-09-14: Aguardando retorno Tayza | Fernanda da Silveira Duarte 2026-09-14: Aguardando retorno da Tayza
B2B-14,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,MACD - UPGRADE & SWAP,"Visão 360º, Alteração Contratual B2B e Refidelização Intencional",SUPERADA por B2B-22,2,N,
B2B-15,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,CONTRACT LIFECYCLE MANAGEMENT - CLM,"Geração de Contrato, Contato de NPS e Armazenamento Externo",VIGENTE,4,N,
B2B-16,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,SALES CORE,Estruturação de Motivos e Submotivos para Perda de Leads e Oportunidades,VIGENTE,0,N,
B2B-17,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,ENTERPRISE CPQ,Configuração e Precificação de Produtos na Modalidade Cortesia / Degustação,VIGENTE,8,N,
B2B-18,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,SALES CORE / ADVANCED APPROVALS,Aprovação Mandatória e Trava Comercial para Cortesias,VIGENTE,3,N,
B2B-19,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,ENTERPRISE ORDER MANAGEMENT - EOM,"Decomposição, Provisionamento e Handoff de Cortesia (Payload Faturamento Nulo)",VIGENTE,1,N,
B2B-20,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,SALES CORE / RETENTION,Automação de Fim de Degustação (Try & Buy) e Conversão de Contrato,VIGENTE,11,N,
B2B-21,Especificação Funcional e Técnica B2B (3).docx,Adicionada em 09/09/26,ENTERPRISE CPQ / SALES CORE,Negociação de Permuta de Serviços (Swap/SUAP) e Justificativa Comercial,VIGENTE,6,N,
